game_id,igdb_id,vgi_id,name,released,steam_id,slug,price,units_sold_vgi,reviews,followers,rating,genres,developers,publishers,publishers_type,revenue_vgi,tags
4094434,305056.0,618843,The Big Catch: Tacklebox,2024-06-07,2985610,the-big-catch-tacklebox,0.0,77430,2581,3118,90.972,"Action, Adventure, Free to Play",Filet Group,"Filet Group, Marvelous USA, Inc., XSEED Games","AA, Indie",0,"['Action', 'Adventure', 'Controller', 'Action-Adventure', 'Stylized', 'Puzzle Platformer', 'Third-Person', 'Parkour', 'Fishing', '3D Platformer', 'Precision Platformer', ""1990's"", 'Collectathon', '3D', 'Platformer', 'Exploration', 'Open World', 'Retro', 'Atmospheric', 'Colorful']"
3816431,152197.0,694753,Rocksmith+,2024-06-06,2834910,rocksmith,0.0,42750,1425,2857,16.211,"Casual, Free to Play",Ubisoft,Ubisoft,AAA,0,"['Singleplayer', 'Casual', 'Tutorial', 'Music', 'Education', 'LGBTQ+', 'Psychedelic', 'Emotional', 'Western', 'Rhythm', 'Utilities', 'Sequel', 'Software', 'Foreign', '3D', 'Arcade', 'Exploration', 'Family Friendly', 'Colorful', 'Wholesome']"
3015283,287578.0,629261,F1® 24,2024-05-31,2488620,f1-24,69.99,398000,13270,25622,72.359,"Sports, Racing",Codemasters,Electronic Arts,AAA,15400000,"['Action', 'Simulation', 'Singleplayer', 'Early Access', 'Casual', 'Multiplayer', 'Competitive', 'Sports', 'Automobile Sim', 'Racing', 'Driving', 'VR', 'Co-op', 'Online Co-Op', 'Character Customization', 'Local Co-Op', 'eSports', 'Great Soundtrack', 'PvP', 'Realistic']"
3370346,296843.0,644542,The Rogue Prince of Persia,2024-05-27,2717880,the-rogue-prince-of-persia,19.99,42270,1409,12603,87.864,"Action, Adventure, Early Access",Evil Empire,Ubisoft,AAA,618000,"['Action', 'Adventure', 'Singleplayer', 'Side Scroller', 'Action-Adventure', 'Stylized', 'Dark Fantasy', 'Action Roguelike', '2D Platformer', 'Parkour', 'Combat', '2D', 'Cartoony', 'Platformer', 'Roguelike', 'Roguelite', 'Fantasy', 'Atmospheric', 'Procedural Generation', 'Replay Value']"
3592160,228521.0,644654,Valiant Hearts: Coming Home,2024-05-24,2741360,valiant-hearts-coming-home,14.99,8160,272,3474,63.235,Adventure,Ubisoft,Ubisoft,AAA,84703,"['Action', 'Adventure', 'Indie', 'Singleplayer', 'Side Scroller', 'Music', 'Puzzle Platformer', 'Education', 'War', 'Historical', '2D Platformer', 'Emotional', 'Comic Book', 'World War I', 'Dog', '2D', 'Platformer', 'Puzzle', 'Story Rich', 'Atmospheric']"
1231421,127342.0,643270,Senua’s Saga: Hellblade II,2024-05-21,2461850,senua-s-saga-hellblade-ii,49.99,194000,6451,46647,87.692,"Action, Adventure",Ninja Theory,Xbox Game Studios,AAA,7200000,"['Action', 'Adventure', 'Singleplayer', 'Action-Adventure', 'Psychological Horror', 'Dark', 'Dark Fantasy', 'Third-Person', 'Cinematic', 'Walking Simulator', 'Psychological', 'Swordplay', 'Combat', 'Mythology', 'Female Protagonist', 'Story Rich', 'Atmospheric', 'Horror', 'Realistic', 'Vikings']"
3022025,153700.0,723265,Ghost of Tsushima DIRECTOR'S CUT,2024-05-16,2215430,ghost-of-tsushima-director-s-cut,59.99,2100000,59874,174000,93.665,"Action, Adventure","Nixxes software, Sucker Punch Productions",PlayStation Publishing LLC,AAA,96400000,"['Action', 'Adventure', 'Singleplayer', 'Multiplayer', 'Ninja', 'Action-Adventure', 'Gore', 'Action RPG', 'Souls-like', 'Co-op', 'Online Co-Op', 'Historical', 'Third-Person', 'Combat', 'Stealth', 'Exploration', 'Open World', 'Story Rich', 'Atmospheric', 'Violent']"
3823024,112910.0,694246,SAMURAI WARRIORS 4 DX,2024-05-14,2719200,samurai-warriors-4-dx,49.99,11250,375,5182,87.2,Action,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",AAA,411000,"['Action', 'Singleplayer', 'Multiplayer', 'Controller', 'Co-op', 'Online Co-Op', 'Character Customization', 'War', 'Historical', 'Hack and Slash', 'Third-Person', 'Local Multiplayer', '3D Platformer', 'Local Co-Op', 'Spectacle fighter', '3D', 'Anime', 'Musou']"
67279,122123.0,636168,Homeworld 3,2024-05-13,1840080,homeworld-3,59.99,232000,7734,90709,40.354,"Simulation, Strategy",Blackbird Interactive,Gearbox Publishing,AA,10800000,"['Strategy', 'Simulation', 'Singleplayer', 'Multiplayer', 'Competitive', 'Co-op', 'Tactical', 'Real-Time', 'Isometric', 'Combat', '3D', 'Female Protagonist', 'RTS', 'Roguelike', 'Roguelite', 'Management', 'Story Rich', 'Space', 'Sci-fi', 'Atmospheric']"
2027939,271213.0,617454,PAC-MAN Mega Tunnel Battle: Chomp Champs,2024-05-08,2095950,pac-man-mega-tunnel-battle-chomp-champs,19.99,3720,124,1764,67.742,Casual,Amber Studio,Bandai Namco,AAA,55422,"['Casual', 'Multiplayer', 'Character Customization', 'Battle Royale', 'Top-Down', 'Arcade', 'Family Friendly', 'PvP']"
42516,166824.0,728197,INDIKA,2024-05-02,1373960,indika,24.99,177000,5894,24884,90.414,Adventure,Odd Meter,11 bit studios,AA,3200000,"['Adventure', 'Singleplayer', 'Mystery', 'Dark', 'Third-Person', 'Surreal', 'Psychedelic', 'Cinematic', 'Walking Simulator', 'Psychological', 'Conversation', 'Narration', 'Female Protagonist', 'Puzzle', 'Exploration', 'Linear', 'Story Rich', 'Atmospheric', 'Horror', 'Mature']"
2329683,275696.0,663117,The Political Machine 2024,2024-05-02,2512090,the-political-machine-2024,19.99,6510,217,1185,76.037,"Simulation, Strategy",Stardock Entertainment,Stardock Entertainment,AA,94828,"['Strategy', 'Simulation', 'Singleplayer', 'Multiplayer', 'Economy', 'Education', 'Capitalism', 'Character Customization', 'Historical', 'Political', 'Turn-Based Strategy', 'America', 'Alternate History', 'Politics', 'Political Sim', 'Cartoony', 'Building', 'Card Game', 'Management', 'PvP']"
2877448,282959.0,615842,TopSpin 2K25,2024-04-26,1785650,topspin-2k25,99.99,94770,3159,7515,50.776,Sports,Hangar 13,2K,AAA,3900000,"['Simulation', 'Singleplayer', 'Multiplayer', 'Sports', 'Controller', 'PvE', 'Local Multiplayer', 'Soundtrack', 'Local Co-Op', 'Tennis', 'Family Friendly', 'PvP', 'Realistic']"
1231196,252480.0,626666,SAND LAND,2024-04-25,1979440,sand-land,59.99,33630,1121,28968,88.403,"Action, RPG","ILCA,Inc.",Bandai Namco,AAA,1500000,"['Action', 'Singleplayer', 'RPG', 'Action-Adventure', 'Gun Customization', 'Tanks', ""Beat 'em up"", 'Action RPG', 'Mechs', 'Third-Person Shooter', 'Combat Racing', 'Vehicular Combat', '3D', 'Cartoony', 'Exploration', 'Open World', 'Comedy', 'Story Rich', 'Sci-fi', 'Anime']"
2659609,266681.0,722572,SaGa Emerald Beyond ,2024-04-25,2085000,saga-emerald-beyond,49.99,9210,307,4422,75.57,RPG,Square Enix,Square Enix,AAA,354000,"['Strategy', 'Action', 'Adventure', 'Singleplayer', 'RPG', 'Action-Adventure', 'Turn-Based Combat', 'Party-Based RPG', 'Tactical', 'Cats', 'Vampire', '3D', 'Female Protagonist', 'Turn-Based', 'JRPG', 'Fantasy', 'Story Rich', 'Sci-fi', 'Anime', 'Multiple Endings']"
