name,platforms,genre,release_date
Luna Abyss,"PC, PlayStation, Xbox",Action,July 2025
Warpaws,PC,Strategy,July 2025
The Fold: Ingression,PC,Adventure,July 2025
Ferocious,PC,Action,July 2025
Nakwon: Last Paradise,PC,Action,July 2025
PuffPals: Island Skies,"PC, Nintendo",Adventure,July 2025
Screenbound,PC,Arcade,July 2025
Dragon Ball Project: Multi,"PC, Mobile",Action,July 2025
Era One,PC,Strategy,July 2025
Code Violet,PlayStation,Action,July 2025
Metal Gear Solid Delta: Snake Eater,"PC, PlayStation, Xbox",Action,"August 28, 2025"
Shinobi: Art of Vengeance,"PC, PlayStation, Xbox, Nintendo",Action,"August 29, 2025"
Lab Rat,"PC, Xbox",Puzzle,August 2025
Chrono Odyssey,"PC, PlayStation, Xbox, Mobile",RPG,August 2025
Haunted Space,"PC, PlayStation, Xbox",Action,August 2025
FBC: Firebreak,"PC, PlayStation, Xbox",Action,Q3 2025
The Seven Deadly Sins Origin,PC,RPG,August 2025
Call of Saregnar,PC,RPG,August 2025
Mafia: The Old Country,"PC, PlayStation, Xbox",Action,Q3 2025
One-Eyed Likho,PC,Adventure,August 2025
Exo Rally Championship,PC,Racing,August 2025
Wheel World,"PC, PlayStation, Xbox",Arcade,Q3 2025
Ghost Knight: A Dark Tale,PC,Action,August 2025
Pathfinder: Abomination Vaults,PC,RPG,August 2025
Vindictus: Defying Fate,PC,RPG,August 2025
Jump Ship,"PC, Xbox",Action,Q3 2025
Second-Loop,PC,Action,August 2025
Politics: The Game,PC,RPG,August 2025
Dying Light: The Beast,"PC, PlayStation, Xbox",Action,Q3 2025
King of Meat,"PC, PlayStation, Xbox, Nintendo",Action,August 2025
Lost in Random: The Eternal Die,"PC, PlayStation, Xbox, Nintendo",Action,Q3 2025
MindsEye,"PC, PlayStation, Xbox",Action,Q3 2025
Ninja Gaiden: Ragebound,"PC, PlayStation, Xbox, Nintendo",Action,Q3 2025
ReMatch,"PC, PlayStation, Xbox",Sports,August 2025
Kingdom Come: Deliverance 2 - Brushes with Death,"PC, PlayStation, Xbox",RPG,Q3 2025
Lies of P: Overture,"PC, PlayStation, Xbox",RPG,Q3 2025
Songs of Conquest: Roots,PC,Strategy,Q3 2025
Earth vs Mars,PC,Strategy,Q3 2025
RoboCop: Rogue City - Unfinished Business,"PC, PlayStation, Xbox",Action,Q3 2025
Hell Is Us,"PC, PlayStation, Xbox",Action,"September 4, 2025"
Terminator 2D: No Fate,"PC, PlayStation, Xbox, Nintendo",Action,"September 5, 2025"
Borderlands 4,"PC, PlayStation, Xbox",Action,"September 23, 2025"
Lost Region,"PC, PlayStation, Xbox",Action,2025
Kingdom of Night,"PC, PlayStation, Xbox, Nintendo",RPG,2025
Lost Viking: Kingdom of Women,PC,Action,Q3 2025
Akatori,"PC, Nintendo",Action,2025
Kokopa's Atlas,PC,Adventure,2025
Modern Naval Warfare,PC,Simulation,2025
Rooted,PC,Action,2025
Morbid Metal,PC,Action,2025
Dungeons of the Amber Griffin,PC,RPG,2025
Song of Iron 2,"PC, Xbox",Action,2025
Ashfall,"PC, Mobile",RPG,2025
Summerhill,PC,Adventure,2025
Everdeep Aurora,"PC, Nintendo",Adventure,2025
Eternal Tombs,PC,RPG,2025
Hollow Home,PC,RPG,2025
Menace,PC,RPG,Q3 2025
Over Jump Rally,PC,Racing,2025
Rubber Royale,PC,Action,2025
EA Sports FC Tactical,Mobile,Strategy,2025
Aeterna Lucis,"PC, PlayStation, Xbox, Nintendo",Action,September 2025
Radio Commander: Pacific Campaign,PC,Strategy,2025
Prison Architect 2,"PC, PlayStation, Xbox",Strategy,2025
Whisper Mountain Outbreak,PC,Action,Q3 2025
Car Repair,PC,Simulation,September 2025
UnderMine 2,PC,Action,2025
The Whims of the Gods,PC,Strategy,Q3 2025
Campus Life,PC,Simulation,2025
Killer Bean,PC,Action,2025
Tenjutsu,PC,Action,2025
StarKeeper,PC,Strategy,2025
Fantastic Haven,PC,Strategy,Q3 2025
Liquidation,PC,Strategy,2025
Star Wars: Hunters,"PC, Mobile, Nintendo",Action,"October 1, 2025"
Directive 8020,"PC, PlayStation, Xbox",Adventure,"October 2, 2025"
Double Dragon Revive,"PC, PlayStation, Xbox",Action,"October 23, 2025"
Magin: The Rat Project Stories,PC,RPG,2025
Mythastasis,Mobile,Puzzle,2025
Where Birds Go to Sleep,PC,Adventure,2025
Dark Fracture,PC,Adventure,2025
