name,platforms,genre,released
Demonologist,PC,Action,2023-09-25
Relic Hunters Legend,PC,Action,2023-09-25
Testimony of Help,PC,Adventure,2023-09-24
Avatar: The Last Airbender - Quest for Balance,"PC, PlayStation, Xbox, Nintendo",Action,2023-09-22
InfraSpace,PC,Strategy,2023-09-22
Astrea: Six-Sided Oracles,"PC, PlayStation, Xbox, Nintendo",RPG,2023-09-21
Resident Evil 4: Separate Ways,"PC, PlayStation, Xbox",Action,2023-09-21
Super Adventure Hand,"PC, Nintendo",Arcade,2023-09-21
PayDay 3,"PC, PlayStation, Xbox",Action,2023-09-21
Moonstone Island,"PC, Nintendo",Adventure,2023-09-20
Party Animals,"PC, PlayStation, Xbox, Mobile, Nintendo",Arcade,2023-09-20
Witchfire,PC,Action,2023-09-20
Bit.Trip ReRunner,"PC, PlayStation",Arcade,2023-09-19
Dragonheir: Silent Gods,"PC, Mobile",RPG,2023-09-19
Mortal Kombat 1,"PC, PlayStation, Xbox, Nintendo",Fighting,2023-09-19
HumanitZ,PC,Action,2023-09-18
Lies of P,"PC, PlayStation, Xbox",RPG,2023-09-18
NASCAR Arcade Rush,"PC, PlayStation, Xbox, Nintendo",Racing,2023-09-15
Wandering Sword,PC,RPG,2023-09-15
Summum Aeterna,"PC, PlayStation, Xbox, Nintendo",Action,2023-09-14
F-Zero 99,Nintendo,Racing,2023-09-14
We Were Here Expeditions: The FriendShip,"PC, PlayStation, Xbox",Puzzle,2023-09-14
Heavy Duty Challenge,"PC, PlayStation, Xbox",Simulation,2023-09-14
AK-xolotl,"PC, PlayStation, Xbox, Nintendo",Action,2023-09-14
Thunder Ray,"PC, PlayStation, Xbox, Nintendo",Action,2023-09-14
The Walking Dead: Betrayal,PC,Action,2023-09-14
Inspector Gadget: MAD Time Party,"PC, PlayStation, Xbox, Nintendo",Action,2023-09-14
Monster Hunter Now,Mobile,Adventure,2023-09-14
Deceit 2,"PC, PlayStation, Xbox",Action,2023-09-14
The Crew: Motorfest,"PC, PlayStation, Xbox",Racing,2023-09-14
Dune: Spice Wars,"PC, Xbox",Strategy,2023-09-14
Ad Infinitum,"PC, PlayStation, Xbox",Adventure,2023-09-14
God of Weapons,PC,Action,2023-09-13
Karting Superstars,PC,Racing,2023-09-13
Gunbrella,"PC, Nintendo",Action,2023-09-13
Eternights,"PC, PlayStation, Nintendo",Action,2023-09-12
MythForce,"PC, PlayStation, Xbox, Nintendo",Action,2023-09-12
Nour: Play with Your Food,"PC, PlayStation, Nintendo",Simulation,2023-09-12
NBA 2K24,"PC, PlayStation, Xbox, Nintendo",Sports,2023-09-08
Fae Farm,"PC, PlayStation, Xbox, Nintendo",RPG,2023-09-08
Anonymous;Code,"PC, PlayStation, Nintendo",Adventure,2023-09-08
The Many Pieces of Mr. Coo,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-09-07
Warstride Challenges,"PC, PlayStation, Xbox",Action,2023-09-07
Final Fantasy VII Ever Crisis,"PC, Mobile",RPG,2023-09-07
Starfield,"PC, Xbox",RPG,2023-09-06
Rune Factory 3 Special,"PC, Nintendo",RPG,2023-09-05
Chants of Sennaar,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-09-05
Highrise City,PC,Strategy,2023-09-04
Borderlands Collection: Pandora's Box,"PC, PlayStation, Xbox",Action,2023-09-01
Usagi Shima,"PC, Mobile",Simulation,2023-09-01
90 Minute Fever,PC,Sports,2023-09-01
Tenebris Pictura,"PC, PlayStation, Xbox",Action,2023-08-31
Trine 5: A Clockwork Conspiracy,"PC, PlayStation, Xbox, Nintendo",Arcade,2023-08-31
Pocket Bravery,"PC, PlayStation, Xbox, Nintendo",Fighting,2023-08-31
OU,"PC, Nintendo",Adventure,2023-08-31
Daymare: 1994 Sandcastle,"PC, PlayStation, Xbox, Nintendo",Action,2023-08-30
The Making of Karateka,"PC, PlayStation, Xbox, Nintendo",Action,2023-08-29
