name,platforms,genre,released
Valiant Hearts: Coming Home,"PC, PlayStation, Xbox, Mobile, Nintendo",Adventure,2023-01-31
Avatar: Generations,Mobile,RPG,2023-01-31
Superfuse,PC,RPG,2023-01-31
SpongeBob SquarePants: The Cosmic Shake,"PC, PlayStation, Xbox, Mobile, Nintendo",Arcade,2023-01-31
Season: A Letter to the Future,"PC, PlayStation",Adventure,2023-01-31
Second Front,PC,Strategy,2023-01-31
Industries of Titan,PC,Strategy,2023-01-31
Backfirewall_,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-01-30
GoldenEye 007,"Xbox, Nintendo",Action,2023-01-27
Dead Space,"PC, PlayStation, Xbox",Action,2023-01-27
Pizza Tower,"PC, Nintendo",Arcade,2023-01-26
Death in the Water 2,PC,Action,2023-01-26
OddBallers,"PC, PlayStation, Xbox, Nintendo",Party,2023-01-26
Garden In!,PC,Simulation,2023-01-26
Dread Templar,PC,Action,2023-01-26
Hi-Fi Rush,"PC, PlayStation, Xbox",Action,2023-01-25
Ultimate Admiral: Dreadnoughts,PC,Strategy,2023-01-25
Neptunia: Sisters VS Sisters,"PC, PlayStation, Xbox, Nintendo",RPG,2023-01-24
Warlander,"PC, PlayStation, Xbox",Action,2023-01-24
Mahokenshi,PC,RPG,2023-01-24
Forspoken,"PC, PlayStation",Action,2023-01-24
Fire Emblem: Engage,Nintendo,RPG,2023-01-20
Trenches,"PC, PlayStation, Xbox, Nintendo",Action,2023-01-20
Steel Division 2: Blood Feud in Transylvania,PC,Strategy,2023-01-19
Colossal Cave,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-01-19
Tortuga: A Pirate's Tale,"PC, PlayStation, Xbox",Strategy,2023-01-19
A Space for the Unbound,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-01-19
Outcasters,PC,Action,2023-01-18
Nine to Five,PC,Action,2023-01-18
Osiris: New Dawn,"PC, PlayStation, Xbox",Action,2023-01-18
WW2 Rebuilder,"PC, PlayStation, Xbox",Simulation,2023-01-16
Ravendawn,PC,RPG,2023-01-16
Drift Stage,PC,Racing,2023-01-13
Sailing Era,"PC, PlayStation, Nintendo",RPG,2023-01-12
Aquatico,PC,Strategy,2023-01-12
One Piece Odyssey,"PC, PlayStation, Xbox, Nintendo",RPG,2023-01-12
Gatewalkers,"PC, PlayStation, Xbox",RPG,2023-01-12
Final Fantasy VII: The First Soldier,Mobile,Action,2023-01-11
Children of Silentown,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-01-11
Atrio: The Dark Wild,"PC, Xbox",Simulation,2023-01-10
KartRider: Drift,"PC, PlayStation, Xbox, Mobile",Racing,2023-01-10
Stars End,PC,Action,2023-01-08
Luck Be a Landlord,"PC, PlayStation, Xbox, Nintendo",Puzzle,2023-01-06
We Are The Caretakers,"PC, Xbox",RPG,2023-01-06
Hitman Sniper: The Shadows,Mobile,Action,2023-01-04
Deus Ex GO,Mobile,Puzzle,2023-01-04
vROVpilot: Titanic,PC,Simulation,2024-12-31
Fusionist,PC,Strategy,2024-12-29
Where Winds Meet,"PC, PlayStation",RPG,2024-12-27
The Midnight Crimes,PC,Adventure,2024-12-25
Trouble in Warsaw,PC,Adventure,2024-12-23
MannaRites Gold,PC,RPG,2024-12-20
Ultimate General: American Revolution,PC,Strategy,2024-12-20
Alien: Rogue Incursion,"PC, PlayStation",Action,2024-12-19
Glorious Companions,PC,RPG,2024-12-19
Blood West: Dead Man's Promise,PC,Action,2024-12-18
OHV,PC,Simulation,2024-12-18
Lost Islands,"PC, PlayStation",Action,2024-12-18
Warno: Northag,PC,Strategy,2024-12-17
Songs of Conquest: Vanir,PC,Strategy,2024-12-17
A Twisted Path to Renown,PC,Action,2024-12-17
Flint: Treasure of Oblivion,"PC, PlayStation, Xbox",RPG,2024-12-17
Awaria,PC,Arcade,2024-12-16
On Your Tail,"PC, Nintendo",Adventure,2024-12-16
Rennsport,PC,Racing,2024-12-16
Workers & Resources: Soviet Republic - World Maps,PC,Strategy,2024-12-13
Kletka,PC,Action,2024-12-13
SimRail: The Railway Simulator,PC,Simulation,2024-12-13
Pantheon: Rise of the Fallen,PC,RPG,2024-12-13
"Northgard: Hafgufa, Clan of the Turtle",PC,Strategy,2024-12-12
Total War: Warhammer III - Omens of Destruction,PC,Strategy,2024-12-12
Creeper World IXE,PC,Strategy,2024-12-12
Heat Death: Survival Train,PC,Action,2024-12-12
Fairy Tail 2,"PC, PlayStation, Nintendo",RPG,2024-12-12
Exfil,PC,Action,2024-12-12
The Spirit of the Samurai,"PC, PlayStation, Xbox",Action,2024-12-12
TankHead,PC,Action,2024-12-11
MiSide,PC,Adventure,2024-12-11
This War of Mine: Forget Celebrations,PC,Strategy,2024-12-11
Swordhaven: Iron Conspiracy,PC,RPG,2024-12-11
Galactic Civilizations IV: Megastructures,PC,Strategy,2024-12-10
Dungeons 4: Not Another Multiverse,"PC, PlayStation, Xbox",Strategy,2024-12-10
Terminator: Dark Fate - Defiance: We are Legion,PC,Strategy,2024-12-10
Wartales: The Skelmar Invasion,PC,RPG,2024-12-10
Fast Food Simulator,PC,Simulation,2024-12-10
Go Home Annie,PC,Adventure,2024-12-10
Astrometica,PC,Simulation,2024-12-10
Legacy of Kain: Soul Reaver 1&2 Remastered,"PC, PlayStation, Xbox, Nintendo",Action,2024-12-10
EVE Frontier,PC,Action,2024-12-10
Mighty Morphin Power Rangers: Rita's Rewind,"PC, PlayStation, Xbox, Nintendo",Action,2024-12-10
VOIN,PC,RPG,2024-12-10
Industrial Annihilation,PC,Strategy,2024-12-10
Naiad,"PC, PlayStation, Xbox, Nintendo",Adventure,2024-12-10
Urban Strife,PC,RPG,2024-12-10
Monument Valley 3,Mobile,Puzzle,2024-12-10
Stars in the Trash,PC,Arcade,2024-12-09
Wild Woods,PC,Action,2024-12-09
Janosik 2,PC,Action,2024-12-09
Indiana Jones and the Great Circle,"PC, PlayStation, Xbox",Action,2024-12-09
Zort,PC,Adventure,2024-12-07
Tower of Mask,PC,RPG,2024-12-07
Marvel Rivals,"PC, PlayStation, Xbox",Action,2024-12-06
Chrono Sword,"PC, PlayStation, Xbox, Nintendo",RPG,2024-12-06
Path of Exile 2,"PC, PlayStation, Xbox",RPG,2024-12-06
Preface: Undiscovered World,PC,Adventure,2024-12-05
Overthrown,"PC, Xbox",Action,2024-12-05
Fitness Boxing 3: Your Personal Trainer,Nintendo,Sports,2024-12-05
Dustgrave,PC,RPG,2024-12-05
Highway Police Simulator,"PC, PlayStation, Xbox",Simulation,2024-12-05
Railroads Online,"PC, PlayStation, Xbox",Simulation,2024-12-05
Caves of Qud,PC,RPG,2024-12-05
The Thing: Remastered,"PC, PlayStation, Xbox, Nintendo",Action,2024-12-05
Infinity Nikki,"PC, PlayStation, Mobile",Adventure,2024-12-05
Delta Force,"PC, PlayStation, Xbox, Mobile",Action,2024-12-05
Symphonia,"PC, PlayStation, Xbox, Nintendo",Arcade,2024-12-05
Stranger Things VR,"PC, PlayStation",Action,2024-12-05
Skydance's Behemoth,"PC, PlayStation",RPG,2024-12-05
UFL,"PlayStation, Xbox",Sports,2024-12-05
Deadside,"PC, PlayStation, Xbox",Action,2024-12-05
Priest Simulator,PC,Action,2024-12-05
Euro Truck Simulator 2: Greece,PC,Simulation,2024-12-04
Battle Shapers,PC,Action,2024-12-04
Girls' Frontline 2: Exilium,"PC, Mobile",RPG,2024-12-03
Antonblast,"PC, Nintendo",Action,2024-12-03
Settle and Battle: New Empires,"PC, Mobile",Strategy,2024-12-02
Animal Crossing: Pocket Camp,Mobile,Simulation,2024-11-29
MXGP 24: The Official Game,"PC, PlayStation, Xbox",Racing,2024-11-28
Enigma of Fear,PC,Adventure,2024-11-28
Avatar: Frontiers of Pandora - Secrets of the Spires,"PC, PlayStation, Xbox",Action,2024-11-28
King Arthur: Legends Rise,"PC, Mobile",RPG,2024-11-27
Critter Cafe,"PC, Nintendo",Adventure,2024-11-26
Gladio Mori,PC,Fighting,2024-11-26
Neon Blood,"PC, PlayStation, Xbox, Nintendo",RPG,2024-11-26
House Flipper: Dine Out,"PC, PlayStation, Xbox",Simulation,2024-11-26
Renaissance Kingdom Wars,PC,Strategy,2024-11-26
New Arc Line,"PC, PlayStation, Xbox",RPG,2024-11-26
Corepunk,PC,RPG,2024-11-26
Void Crew,PC,Action,2024-11-25
Atlyss,PC,RPG,2024-11-23
Strinova,PC,Action,2024-11-22
Victoria 3: Pivot of Empire,PC,Strategy,2024-11-21
ICBM: Escalation,PC,Strategy,2024-11-21
Dungeon Clawler,"PC, Mobile",RPG,2024-11-21
Star Wars: Outlaws - Wild Card,"PC, PlayStation, Xbox",Action,2024-11-21
The Devil Within: Satgat,"PC, PlayStation",Action,2024-11-21
Loco Motive,"PC, Nintendo",Adventure,2024-11-21
Alaloth: Champions of the Four Kingdoms,"PC, Xbox",RPG,2024-11-21
Summa Expeditionis,PC,Strategy,2024-11-20
Supervive,PC,Action,2024-11-20
Luma Island,PC,RPG,2024-11-20
S.T.A.L.K.E.R. 2: Heart of Chornobyl,"PC, Xbox",Action,2024-11-20
Threshold,PC,Adventure,2024-11-19
Microsoft Flight Simulator 2024,"PC, Xbox",Simulation,2024-11-19
Towers of Aghasba,"PC, PlayStation",RPG,2024-11-19
Rogue Command,PC,Strategy,2024-11-18
Forgotten but Unbroken,PC,Strategy,2024-11-18
Industry Giant 4.0,PC,Strategy,2024-11-15
Infestation: Origins,PC,Action,2024-11-15
Subverse,PC,Action,2024-11-15
Talisman: Digital 5th Edition,PC,Party,2024-11-14
Ghost Master: Resurrection,PC,Strategy,2024-11-14
Sorry We're Closed,"PC, PlayStation, Xbox, Nintendo",Action,2024-11-14
Epic Auto Towers,PC,Strategy,2024-11-14
Age of Empires II: Definitive Edition - Chronicles: Battle for Greece,"PC, Xbox",Strategy,2024-11-14
Hearts of Iron IV: Götterdämmerung,PC,Strategy,2024-11-14
LEGO Horizon Adventures,"PC, PlayStation, Nintendo",Action,2024-11-14
VED,"PC, PlayStation, Xbox, Nintendo",RPG,2024-11-14
Little Big Adventure: Twinsen's Quest,"PC, PlayStation, Xbox, Nintendo",Adventure,2024-11-14
Petit Island,"PC, PlayStation, Xbox, Nintendo",Adventure,2024-11-14
Dragon Quest III HD-2D Remake,"PC, PlayStation, Xbox, Nintendo",RPG,2024-11-14
NAIRI: Rising Tide,"PC, Nintendo",Adventure,2024-11-14
Warcraft II: Remastered,PC,Strategy,2024-11-13
Warcraft I: Remastered,PC,Strategy,2024-11-13
Astroneer: Glitchwalkers,"PC, PlayStation, Xbox, Nintendo",Adventure,2024-11-13
Temtem: Swarm,PC,Action,2024-11-13
I Am Future,PC,Simulation,2024-11-13
Songs of Silence,"PC, PlayStation, Xbox",Strategy,2024-11-13
Farming Simulator: 16-Bit Edition,PC,Simulation,2024-11-12
Beastieball,PC,RPG,2024-11-12
Millennia: Atomic Ambitions,PC,Strategy,2024-11-12
Tetris Forever,"PC, PlayStation, Xbox, Nintendo",Puzzle,2024-11-12
In Sink,PC,Puzzle,2024-11-12
Farming Simulator 25,"PC, PlayStation, Xbox",Simulation,2024-11-12
The Rise of the Golden Idol,"PC, PlayStation, Xbox, Mobile, Nintendo",Adventure,2024-11-12
Sea Power: Naval Combat in the Missile Age,PC,Strategy,2024-11-12
1428: Shadows over Silesia - Tourney at the Bear Rock,PC,RPG,2024-11-11
Everholm,PC,RPG,2024-11-11
Zephon,PC,Strategy,2024-11-08
Slitterhead,"PC, PlayStation, Xbox",Action,2024-11-08
Two Falls,PC,Adventure,2024-11-08
Mortal Rite,PC,RPG,2024-11-07
Atomic Picnic,PC,Action,2024-11-07
Death of the Reprobate,PC,Adventure,2024-11-07
Tower Factory,PC,Strategy,2024-11-07
Goat Simulator Remastered,"PC, PlayStation, Xbox",Arcade,2024-11-07
River City Saga: Three Kingdoms Next,"PC, PlayStation, Nintendo",Action,2024-11-07
Mario & Luigi: Brothership,Nintendo,RPG,2024-11-07
Ark of Charon,PC,Strategy,2024-11-07
Metro Awakening,"PC, PlayStation",Action,2024-11-07
Unrailed 2: Back on Track,PC,Arcade,2024-11-07
Techtonica,"PC, PlayStation, Xbox",Simulation,2024-11-07
Chicken Police: Into the HIVE!,PC,Adventure,2024-11-07
Empire of the Ants,"PC, PlayStation, Xbox",Strategy,2024-11-07
Sengoku Dynasty,PC,RPG,2024-11-07
The Lord of the Rings Online: Legacy of Morgoth,PC,RPG,2024-11-06
The Matchless KungFu,PC,RPG,2024-11-06
Thrive: Heavy Lies the Crown,PC,Strategy,2024-11-06
Planet Coaster 2,"PC, PlayStation, Xbox",Strategy,2024-11-06
Brighter Shores,PC,RPG,2024-11-06
Mirthwood,PC,RPG,2024-11-06
Death Note: Killer Within,"PC, PlayStation",Party,2024-11-05
Let's Sing 2025,"PlayStation, Xbox, Nintendo",Party,2024-11-05
Age of Wonders 4: Ways of War,"PC, PlayStation, Xbox",Strategy,2024-11-05
IfSunSets,PC,RPG,2024-11-05
Lost Eidolons: Veil of the Witch,"PC, PlayStation, Xbox, Nintendo",RPG,2024-11-05
Surviving the Abyss,PC,Strategy,2024-11-05
Metal Slug Tactics,"PC, PlayStation, Xbox, Nintendo",RPG,2024-11-05
Crusader Kings III: Wandering Nobles,PC,Strategy,2024-11-04
Car for Sale Simulator 2023,PC,Simulation,2024-11-01
Elin,PC,RPG,2024-11-01
Albatroz,"PC, PlayStation, Xbox",Adventure,2024-11-01
Farmagia,"PC, PlayStation, Nintendo",RPG,2024-11-01
Blasphemous II: Mea Culpa,"PC, PlayStation, Xbox, Nintendo",Action,2024-10-31
The Sims 4: Life & Death,"PC, PlayStation, Xbox",Simulation,2024-10-31
Starship Troopers: Continuum,PlayStation,Action,2024-10-31
Horizon: Zero Dawn Remastered,"PC, PlayStation",Action,2024-10-31
Tlatoani,PC,Strategy,2024-10-31
Shadows of the Damned: Hella Remastered,"PC, PlayStation, Xbox, Nintendo",Action,2024-10-31
Dragon Age: The Veilguard,"PC, PlayStation, Xbox",RPG,2024-10-31
Totally Spies! Cyber Mission,"PC, PlayStation, Xbox, Nintendo",Action,2024-10-31
Pokemon Trading Card Game Pocket,Mobile,Party,2024-10-30
Scramble: Battle of Britain,PC,Strategy,2024-10-30
Final Fantasy: Brave Exvius,Mobile,RPG,2024-10-30
Stellaris: Grand Archive,PC,Strategy,2024-10-29
Life is Strange: Double Exposure,"PC, PlayStation, Xbox, Nintendo",Adventure,2024-10-29
EVE: Galaxy Conquest,"PC, Mobile",Strategy,2024-10-29
Frostpunk: Beyond the Ice,Mobile,Strategy,2024-10-29
Clock Tower: Rewind,"PC, PlayStation, Xbox, Nintendo",Adventure,2024-10-29
[REDACTED],"PC, PlayStation, Xbox",Action,2024-10-28
Fruitbus,PC,Adventure,2024-10-28
Sulfur,"PC, PlayStation, Xbox, Nintendo",Action,2024-10-28
Moon Mystery,PC,Action,2024-10-28
The Coma 2B: Catacomb,"PC, PlayStation, Xbox, Nintendo",Adventure,2024-10-25
Sonic X Shadow Generations,"PC, PlayStation, Xbox, Nintendo",Arcade,2024-10-25
Call of Duty: Black Ops 6,"PC, PlayStation, Xbox",Action,2024-10-25
Ys X: Nordics,"PC, PlayStation, Nintendo",RPG,2024-10-25
Unity of Command II: Berlin,PC,Strategy,2024-10-24
Dark Hours,PC,Action,2024-10-24
Distant Worlds 2: Return of the Shakturi,PC,Strategy,2024-10-24
Romancing SaGa 2: Revenge of the Seven,"PC, PlayStation, Nintendo",RPG,2024-10-24
Card-en-Ciel,"PC, PlayStation, Xbox, Nintendo",RPG,2024-10-24
The Smurfs: Dreams,"PC, PlayStation, Xbox, Nintendo",Arcade,2024-10-24
Windblown,PC,Action,2024-10-24
Romance of the Three Kingdoms 8 Remake,"PC, PlayStation, Nintendo",Strategy,2024-10-24
Forgive Me Father 2,PC,Action,2024-10-24
PRIM,PC,Adventure,2024-10-24
Age of History 3,"PC, Mobile",Strategy,2024-10-23
Rivals of Aether II,PC,Fighting,2024-10-23
While We Wait Here,"PC, PlayStation, Xbox, Nintendo",Adventure,2024-10-23
ZERO Sievert,PC,Action,2024-10-23
Kong: Survivor Instinct,"PC, PlayStation, Xbox",Action,2024-10-22
Realpolitiks 3: Earth and Beyond,PC,Strategy,2024-10-22
Batman: Arkham Shadow,PC,Action,2024-10-22
Awaken: Astral Blade,"PC, PlayStation",Action,2024-10-22
Alan Wake 2: The Lake House,"PC, PlayStation, Xbox",Action,2024-10-22
The Axis Unseen,PC,Action,2024-10-22
No More Room in Hell 2,PC,Action,2024-10-22
Worshippers of Cthulhu,"PC, PlayStation, Xbox",Strategy,2024-10-21
Factorio: Space Age,PC,Strategy,2024-10-21
Wayfinder,"PC, PlayStation, Xbox",Action,2024-10-21
Railroad Corporation 2,PC,Strategy,2024-10-21
Teenage Mutant Ninja Turtles: Mutants Unleashed,"PC, PlayStation, Xbox, Nintendo",Action,2024-10-18
Unknown 9: Awakening,"PC, PlayStation, Xbox",Action,2024-10-18
Valkyrie of Phantasm,"PC, PlayStation, Nintendo",Fighting,2024-10-18
Call to Arms - Gates of Hell: Airborne,PC,Strategy,2024-10-17
Citadelum,PC,Strategy,2024-10-17
Super Mario Party Jamboree,Nintendo,Party,2024-10-17
Killing Time: Resurrected,"PC, PlayStation, Xbox, Nintendo",Action,2024-10-17
Arsene Lupin: Once a Thief,"PC, PlayStation, Xbox, Nintendo",Adventure,2024-10-17
Age of Empires Mobile,Mobile,Strategy,2024-10-17
MechWarrior 5: Clans,"PC, PlayStation, Xbox",Simulation,2024-10-17
Blazing Strike,"PC, PlayStation, Nintendo",Fighting,2024-10-17
A Quiet Place: The Road Ahead,"PC, PlayStation, Xbox",Adventure,2024-10-17
Eden Crafters,PC,Simulation,2024-10-16
Glitchpunk,PC,Action,2024-10-16
Wizardry Variants Daphne,"PC, Mobile",RPG,2024-10-15
Railway Empire 2: India,"PC, PlayStation, Xbox",Strategy,2024-10-15
Just Dance 2025,"PlayStation, Xbox, Nintendo",Party,2024-10-15
Drova: Forsaken Kin,"PC, PlayStation, Xbox, Nintendo",RPG,2024-10-15
DayZ: Frostline,"PC, PlayStation, Xbox",Action,2024-10-15
Neva,"PC, PlayStation, Xbox, Nintendo",Adventure,2024-10-15
Transformers: Galactic Trials,"PC, PlayStation, Xbox, Nintendo",Action,2024-10-11
Thronefall,"PC, Nintendo",Strategy,2024-10-11
Metaphor: ReFantazio,"PC, PlayStation, Xbox",RPG,2024-10-11
Dragon Ball: Sparking! ZERO,"PC, PlayStation, Xbox",Fighting,2024-10-11
Europa,"PC, Nintendo",Adventure,2024-10-11
Starship Troopers: Extermination,"PC, PlayStation, Xbox",Action,2024-10-11
Undisputed,"PC, PlayStation, Xbox",Sports,2024-10-11
Sky Oceans: Wings for Hire,"PC, PlayStation, Xbox, Nintendo",RPG,2024-10-10
Guild Saga: Vanished Worlds,PC,RPG,2024-10-10
Heavy Cargo: The Truck Simulator,"PC, PlayStation, Xbox",Simulation,2024-10-09
Shady Knight,PC,Action,2024-10-09
Kingdom: Two Crowns - Call of Olympus,"PC, PlayStation, Xbox, Mobile, Nintendo",Strategy,2024-10-08
Dead Season,PC,Strategy,2024-10-08
Diablo IV: Vessel of Hatred,"PC, PlayStation, Xbox",RPG,2024-10-08
Silent Hill 2,"PC, PlayStation",Action,2024-10-08
Off The Grid,"PC, PlayStation, Xbox",Action,2024-10-08
Global Farmer,PC,Strategy,2024-10-07
Disney Pixel RPG,Mobile,RPG,2024-10-07
Kind Words 2,PC,Simulation,2024-10-07
Phoenix Springs,PC,Adventure,2024-10-07
The Killing Antidote,PC,Action,2024-10-06
SpongeBob SquarePants: The Patrick Star Game,"PC, PlayStation, Xbox, Nintendo",Arcade,2024-10-04
NHL 25,"PlayStation, Xbox",Sports,2024-10-04
Sword Art Online: Fractured Daydream,"PC, PlayStation, Xbox, Nintendo",RPG,2024-10-04
Until Dawn,"PC, PlayStation",Adventure,2024-10-04
Potion Tycoon,PC,Strategy,2024-10-04
Diplomacy is Not an Option,PC,Strategy,2024-10-04
Kvark,PC,Action,2024-10-03
Combat Directive: Napoleonic Wars,PC,Strategy,2024-10-03
The Last Plague: Blight,PC,Action,2024-10-03
Parcel Corps,"PC, PlayStation, Xbox",Arcade,2024-10-03
Wizard of Legend 2,PC,Action,2024-10-03
Monomyth,PC,RPG,2024-10-03
The Black Masses,PC,RPG,2024-10-03
Liar's Bar,PC,Puzzle,2024-10-02
Kill Knight,"PC, PlayStation, Xbox, Nintendo",Action,2024-10-02
Dread Dawn,PC,Action,2024-10-01
Throne and Liberty,"PC, PlayStation, Xbox",RPG,2024-10-01
Banquet for Fools,PC,RPG,2024-09-30
SpellForce: Conquest of Eo - Weaver's Realms,"PC, PlayStation, Xbox",Strategy,2024-09-30
EcoGnomix,"PC, Nintendo",Strategy,2024-09-30
Rogue Waters,"PC, PlayStation, Xbox, Nintendo",Strategy,2024-09-30
Silence of the Siren,PC,Strategy,2024-09-30
Starfield: Shattered Space,"PC, Xbox",RPG,2024-09-30
Zoochosis,PC,Simulation,2024-09-30
Realm of Ink,PC,Action,2024-09-27
Reynatis,"PC, PlayStation, Nintendo",RPG,2024-09-27
EA Sports FC 25,"PC, PlayStation, Xbox, Nintendo",Sports,2024-09-27
Mouthwashing,PC,Adventure,2024-09-26
Against the Storm: Keepers of the Stone,PC,Strategy,2024-09-26
Worms Armageddon: Anniversary Edition,"PlayStation, Xbox, Nintendo",Strategy,2024-09-26
The Legend of Zelda: Echoes of Wisdom,Nintendo,Arcade,2024-09-26
63 Days,"PC, PlayStation, Xbox",Strategy,2024-09-26
Breachway,PC,Strategy,2024-09-26
Mechabellum,PC,Strategy,2024-09-26
Ravenswatch,"PC, PlayStation, Xbox, Nintendo",Action,2024-09-26
Shadows of Doubt,"PC, PlayStation, Xbox",Adventure,2024-09-26
9th Dawn Remake,PC,RPG,2024-09-25
Duckside,PC,Action,2024-09-25
Headquarters: World War II - Market Garden,PC,Strategy,2024-09-25
#DRIVE Rally,PC,Racing,2024-09-25
Remnant II: The Dark Horizon,"PC, PlayStation, Xbox",Action,2024-09-24
Mortal Kombat 1: Khaos Reigns,"PC, PlayStation, Xbox, Nintendo",Fighting,2024-09-24
"Warhammer 40,000: Rogue Trader - Void Shadows","PC, PlayStation, Xbox",RPG,2024-09-24
The Forever Winter,PC,Action,2024-09-24
Echo Point Nova,PC,Action,2024-09-24
Bloomtown: A Different Story,"PC, PlayStation, Xbox, Nintendo",RPG,2024-09-24
Disney Epic Mickey: Rebrushed,"PC, PlayStation, Xbox, Nintendo",Action,2024-09-24
Crusader Kings III: Roads to Power,PC,Strategy,2024-09-24
Halls of Torment,PC,Action,2024-09-24
Ara: History Untold,PC,Strategy,2024-09-24
GreedFall II: The Dying World,"PC, PlayStation, Xbox",RPG,2024-09-24
Project Castaway,PC,Simulation,2024-09-23
City 20,PC,Simulation,2024-09-23
Tiny Glade,PC,Simulation,2024-09-23
Spiral,"PC, Xbox",Adventure,2024-09-20
Matchbox Driving Adventures,"PC, PlayStation, Xbox, Nintendo",Racing,2024-09-20
Pneumata,"PC, PlayStation, Xbox",Action,2024-09-20
Just A To the Moon Series Beach Episode,PC,Adventure,2024-09-20
Lorn's Lure,PC,Arcade,2024-09-20
Frostpunk 2,"PC, PlayStation, Xbox",Strategy,2024-09-20
Gas Station Simulator: Car Junkyard,PC,Simulation,2024-09-19
Dead Rising Deluxe Remaster,"PC, PlayStation, Xbox",Action,2024-09-19
Copycat,"PC, PlayStation, Xbox, Nintendo",Adventure,2024-09-19
Broken Sword: Shadow of the Templars - Reforged,"PC, PlayStation, Xbox, Nintendo",Adventure,2024-09-19
Keylocker,"PC, PlayStation, Xbox, Nintendo",RPG,2024-09-18
GT Manager,PC,Strategy,2024-09-18
UFO 50,PC,Arcade,2024-09-18
World of Outlaws: Dirt Racing 24,"PC, PlayStation, Xbox",Racing,2024-09-17
Fera: The Sundered Tribes,"PC, PlayStation, Xbox",RPG,2024-09-17
Train Sim World 5,"PC, PlayStation, Xbox",Simulation,2024-09-17
The Plucky Squire,"PC, PlayStation, Xbox, Nintendo",Arcade,2024-09-17
Everspace 2: Titans,"PC, PlayStation, Xbox",Action,2024-09-16
Train Yard Builder,PC,Simulation,2024-09-16
American Truck Simulator: Arkansas,PC,Simulation,2024-09-16
Enotria: The Last Song,"PC, PlayStation, Xbox",RPG,2024-09-16
Chains of Fury,"PC, Nintendo",Action,2024-09-16
TCG Card Shop Simulator,PC,Simulation,2024-09-15
StormEdge,PC,Action,2024-09-13
Funko Fusion,"PC, PlayStation, Xbox, Nintendo",Action,2024-09-13
Edge of Sanity,"PC, PlayStation, Xbox, Nintendo",Adventure,2024-09-13
Marvel vs. Capcom Fighting Collection: Arcade Classics,"PC, PlayStation, Xbox, Nintendo",Fighting,2024-09-12
Caravan SandWitch,"PC, PlayStation, Nintendo",Adventure,2024-09-12
Chef RPG,PC,RPG,2024-09-12
Drill Core,PC,Strategy,2024-09-12
Hollowbody,PC,Action,2024-09-12
Wild Bastards,"PC, PlayStation, Xbox, Nintendo",Action,2024-09-12
Reka,PC,Adventure,2024-09-12
Lollipop Chainsaw RePOP,"PC, PlayStation, Xbox, Nintendo",Action,2024-09-12
Test Drive Unlimited: Solar Crown,"PC, PlayStation, Xbox, Nintendo",Racing,2024-09-12
Evotinction,"PC, PlayStation",Action,2024-09-12
Demolish & Build 3,PC,Simulation,2024-09-11
Stellaris: Cosmic Storms,PC,Strategy,2024-09-10
I Am Your Beast,"PC, Mobile",Action,2024-09-10
Vampire: The Masquerade - Reckoning of New York,"PC, PlayStation, Xbox, Nintendo",Adventure,2024-09-10
Backrooms Media,PC,Adventure,2024-09-10
The Elder Scrolls: Castles,Mobile,Strategy,2024-09-10
Towerborne,"PC, Xbox",RPG,2024-09-10
Satisfactory,PC,Simulation,2024-09-10
"Warhammer 40,000: Space Marine 2","PC, PlayStation, Xbox",Action,2024-09-09
Zero Hour,PC,Action,2024-09-09
Synced,"PC, PlayStation, Xbox",Action,2024-09-09
Perennial Order,"PC, PlayStation, Xbox",Action,2024-09-06
NBA 2K25,"PC, PlayStation, Xbox, Nintendo",Sports,2024-09-06
Ace Attorney Investigations Collection,"PC, PlayStation, Xbox, Nintendo",Adventure,2024-09-06
Astro Bot,PlayStation,Arcade,2024-09-06
Concord,"PC, PlayStation",Action,2024-09-06
Roots of Yggdrasil,PC,Strategy,2024-09-06
Ale & Tale Tavern,PC,Simulation,2024-09-05
Corpus Edax,PC,RPG,2024-09-05
Paper Ghost Stories: Third Eye Open,"PC, PlayStation, Xbox, Nintendo",Adventure,2024-09-05
Selfloss,"PC, PlayStation, Xbox, Nintendo",Adventure,2024-09-05
Stronghold: Castles,Mobile,Strategy,2024-09-04
Son and Bone,"PC, PlayStation",Action,2024-09-04
Age of Mythology: Retold,"PC, PlayStation, Xbox",Strategy,2024-09-04
The Casting of Frank Stone,"PC, PlayStation, Xbox",Adventure,2024-09-03
Star Trucker,"PC, Xbox",Simulation,2024-09-03
Harry Potter: Quidditch Champions,"PC, PlayStation, Xbox, Nintendo",Sports,2024-09-03
Sumerian Six,PC,Strategy,2024-09-02
Star Wars: Outlaws,"PC, PlayStation, Xbox",Action,2024-08-30
Warcana,PC,Strategy,2024-08-29
Emio: The Smiling Man - Famicom Detective Club,Nintendo,Adventure,2024-08-29
Monster Jam Showdown,"PC, PlayStation, Xbox, Nintendo",Racing,2024-08-29
Panzer Corps 2: War Stories - Fall of Poland,PC,Strategy,2024-08-29
Akimbot,"PC, PlayStation, Xbox",Action,2024-08-29
Gundam Breaker 4,"PC, PlayStation, Nintendo",Action,2024-08-29
Memoriapolis,PC,Strategy,2024-08-29
Visions of Mana,"PC, PlayStation, Xbox",RPG,2024-08-29
